Season,twaDeltaB,twaPrice,l2sr,podRate,maxNegativeTwaDeltaB,isNewMaxTwaDeltaB,Capacity_at_Smin_100,Capacity_at_Smin_200,Capacity_at_Smin_300,Capacity_at_Smin_400,Capacity_at_Smin_500,Capacity_at_Smin_600,Capacity_at_Smin_700,Capacity_at_Smin_800,Capacity_at_Smin_900,Capacity_at_Smin_1000
122,-322.824,0.999,0.771,0.435,-322.824,True,3.228,1.614,1.076,0.807,0.646,0.538,0.461,0.404,0.359,0.323
123,-7929.174,0.995,0.767,0.443,-7929.174,True,79.292,39.646,26.431,19.823,15.858,13.215,11.327,9.911,8.81,7.929
124,-817.675,0.999,0.771,0.632,-7929.174,False,79.292,39.646,26.431,19.823,15.858,13.215,11.327,9.911,8.81,7.929
125,8676.558,1.002,0.775,0.651,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,8070.001,1.004,0.785,0.698,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,4114.344,1.002,0.785,0.612,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,2203.101,1.001,0.784,0.533,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,976.199,1.0,0.782,0.409,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,3784.109,1.002,0.783,0.298,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,25120.592,1.007,0.788,0.157,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,3955.222,1.001,0.773,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,745.1,0.999,0.771,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,-1947.179,0.998,0.77,0.0,-1947.179,True,19.472,9.736,6.491,4.868,3.894,3.245,2.782,2.434,2.164,1.947
135,-8422.35,0.994,0.767,0.03,-8422.35,True,84.224,42.112,28.075,21.056,16.845,14.037,12.032,10.528,9.358,8.422
136,-9484.945,0.994,0.767,0.179,-9484.945,True,94.849,47.425,31.616,23.712,18.97,15.808,13.55,11.856,10.539,9.485
137,-9548.253,0.993,0.767,0.399,-9548.253,True,95.483,47.741,31.828,23.871,19.097,15.914,13.64,11.935,10.609,9.548
138,3203.844,1.001,0.776,0.624,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2522.996,1.0,0.776,0.64,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,3387.024,1.001,0.778,0.53,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1819.466,1.0,0.776,0.402,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,2148.257,1.001,0.776,0.311,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,-3740.59,0.998,0.772,0.222,-3740.59,True,37.406,18.703,12.469,9.351,7.481,6.234,5.344,4.676,4.156,3.741
144,346.842,0.998,0.774,0.286,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,12881.102,1.004,0.781,0.288,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,6524.3,1.003,0.778,0.251,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,5634.647,1.003,0.777,0.185,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,6110.232,1.002,0.777,0.114,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,-941.771,0.999,0.773,0.021,-941.771,True,9.418,4.709,3.139,2.354,1.884,1.57,1.345,1.177,1.046,0.942
150,2511.277,1.001,0.776,0.042,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,3469.278,1.001,0.779,0.055,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1766.126,1.001,0.779,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,-5692.239,0.996,0.776,0.0,-5692.239,True,56.922,28.461,18.974,14.231,11.384,9.487,8.132,7.115,6.325,5.692
154,-20945.991,0.988,0.77,0.126,-20945.991,True,209.46,104.73,69.82,52.365,41.892,34.91,29.923,26.182,23.273,20.946
155,3590.527,0.997,0.781,0.568,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,-349.143,0.995,0.778,0.53,-349.143,True,3.491,1.746,1.164,0.873,0.698,0.582,0.499,0.436,0.388,0.349
157,-18488.194,0.987,0.77,0.538,-18488.194,True,184.882,92.441,61.627,46.22,36.976,30.814,26.412,23.11,20.542,18.488
158,-10618.761,0.997,0.774,0.805,-18488.194,False,184.882,92.441,61.627,46.22,36.976,30.814,26.412,23.11,20.542,18.488
159,-4255.992,0.999,0.776,1.052,-18488.194,False,184.882,92.441,61.627,46.22,36.976,30.814,26.412,23.11,20.542,18.488
160,829.188,1.0,0.779,1.153,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,10167.762,1.002,0.784,1.157,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,6479.491,1.002,0.784,1.109,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,-3094.696,0.998,0.78,1.032,-3094.696,True,30.947,15.473,10.316,7.737,6.189,5.158,4.421,3.868,3.439,3.095
164,-7456.028,0.995,0.777,1.103,-7456.028,True,74.56,37.28,24.853,18.64,14.912,12.427,10.651,9.32,8.284,7.456
165,-3506.422,0.998,0.776,1.143,-7456.028,False,74.56,37.28,24.853,18.64,14.912,12.427,10.651,9.32,8.284,7.456
166,-10.241,1.0,0.779,1.224,-7456.028,False,74.56,37.28,24.853,18.64,14.912,12.427,10.651,9.32,8.284,7.456
